,coffee_name,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
1045,콜롬비아 디카페인 에스프레소,디카페인,다크,,"감초, 다크 초콜릿, 카카오닙스",4,1,5,4
3561,에스프레션,블렌드,미디엄,,-,4,2,4,3
3836,시그니처블렌드 B,블렌드,미디엄다크,,-,3,2,4,1
3433,데일리블렌드,블렌드,미디엄다크,공정무역,-,4,1,5,3
1205,오드 블렌드,블렌드,미디엄,,"과일, 크리미, 홍차",3,3,4,2
3142,마젠타 블렌드,블렌드,미디엄,,-,2,4,3,1
141,이탈리안잡 블렌드,블렌드,미디엄다크,,"흑당, 다크초콜릿, 균형감",4,2,4,4
3068,아게다 블렌딩,블렌드,라이트미디엄,,-,2,4,4,2
3205,펀치,블렌드,다크,,-,3,2,4,2
9,아이리스,블렌드,라이트미디엄,,"스트로베리, 복숭아, 브라운슈가, 밀크초콜릿, 길고 깨끗한 여운",2,4,4,2
4482,라이프 블렌드,블렌드,다크,,-,4,1,4,3
1707,콜롬비아 엑셀소 EP 디카페인 마운틴 워터,디카페인,미디엄다크,,"카라멜, 초콜릿, 오렌지, 슈가케인, 볶은피넛",3,1,3,2
4736,"LIGHT,LIGHTER 에티오피아 하마쇼 내추럴",싱글오리진,라이트,,-,4,3,5,1
4823,L 블렌드,블렌드,다크,,-,4,1,4,3
116,젠틀레인 디카페인,디카페인,미디엄다크,,-,4,2,4,3
3605,폴라베어 블랜딩,블렌드,라이트미디엄,,-,4,3,5,2
4605,코스타리카 따라주,싱글오리진,미디엄다크,공정무역,-,3,2,3,3
3160,라까프 핀 블렌드,블렌드,다크,공정무역,-,4,1,4,4
4306,시즈널 블렌드 '여름',블렌드,라이트,공정무역,-,3,4,4,2
3607,반달 베어 블랜딩,블렌드,미디엄다크,,-,5,1,5,3
1470,케냐 AA 워시드,싱글오리진,라이트,,"자몽, 라임, 토마토, 자두, 브라운 슈가",3,4,4,1
3046,아이올라이트 블렌드,블렌드,미디엄다크,,-,4,2,4,4
41,골든에라,블렌드,미디엄다크,,"블랙체리, 밀크 초콜렛, 밸런스드 바디",4,2,5,3
203,비숲,블렌드,다크,직접무역,"레드와인, 다크 초콜릿, 흑설탕, 낮은 산미",3,1,3,4
4839,브라질 파젠다 산타루시아 펄프드내추럴,싱글오리진,라이트미디엄,,-,3,3,3,3
1055,콜롬비아 디카페인,디카페인,미디엄다크,,"사과잼, 탠저린, 화이트 초콜릿",3,3,4,2
3930,시티섬머블루스 시즈널블랜드,블렌드,라이트미디엄,,-,3,4,5,1
3047,오닉스 블렌드,블렌드,미디엄다크,,-,4,2,4,4
3446,와이칸,싱글오리진,미디엄다크,직접무역,-,3,4,5,3
4310,기디 블렌드,블렌드,라이트미디엄,,-,2,4,4,1
1108,하늘에 시그니처 블랜딩,블렌드,라이트미디엄,,"오렌지, 카라멜, 쥬시",2,4,4,1
1702,케냐 키린야가 캄완기 AA TOP,싱글오리진,라이트,,"오렌지,자몽,달콤함,라운드바디",2,3,5,1
3147,콜롬비아 모틸론,싱글오리진,미디엄다크,,-,4,2,4,1
18,레스벗베러,블렌드,다크,,"다크초콜릿, 카라멜, 적은 산미, 좋은 바디감",4,1,5,4
1001,오버타임,블렌드,미디엄다크,,"말린 과일, 초콜릿, 풀 바디, 균형감",5,1,5,1
2999,디카페인 에티오피아 짐마,디카페인,미디엄다크,,-,3,2,4,2
4188,봄 블랜드,블렌드,라이트미디엄,,-,3,4,4,1
71,Blend N.3,블렌드,미디엄,,"밀크 초콜릿, 오렌지, 좋은 밸런스",3,3,3,2
195,Classic Plus Blend,블렌드,다크,직접무역,"다크 초콜릿, 카카오, 아몬드",5,1,5,4
4311,위시풀 블렌드,블렌드,미디엄,,-,3,3,5,3
3946,바다뷰 디카페인,디카페인,미디엄다크,,-,4,3,3,2
1093,피어투피어,블렌드,미디엄,,"오렌지, 밀크초콜렛, 케인슈가, 블랙티",2,3,3,1
1296,콜롬비아 디카페인,디카페인,미디엄다크,,"건과일, 토피넛, 코코아",4,3,4,2
3195,블랙 블렌딩 커피,블렌드,다크,,-,5,1,4,3
3895,에티오피아 디카페인,디카페인,라이트미디엄,,-,3,4,4,3
3897,케냐AA 디카페인,디카페인,미디엄다크,,-,4,4,4,3
3438,디카페인,디카페인,미디엄다크,공정무역,-,4,1,5,4
125,콜롬비아 디카페인,디카페인,미디엄,,"토스트, 코코아, 밀크 초콜릿",3,2,4,2
4716,콜롬비아 디카페인,디카페인,미디엄,,-,3,4,4,2
3984,스모키쿼츠 블렌드,블렌드,미디엄다크,,-,4,1,3,3
4683,아프로디테 블렌딩,블렌드,라이트미디엄,,-,2,3,4,2
3048,카넬리안 블렌드,블렌드,미디엄다크,,-,3,2,4,4
4010,콜롬비아 엘 오브라헤 게이샤 무산소발효 내추럴,싱글오리진,라이트,,-,3,4,4,2
4331,반월 블렌드,블렌드,다크,,-,4,2,5,1
291,올드타운,블렌드,미디엄,,"오렌지, 카라멜, 초콜릿",3,3,4,2
4705,콜롬비아 수프리모,싱글오리진,미디엄다크,,-,3,3,3,1
3221,Snokel (스노클),블렌드,라이트미디엄,,-,2,2,4,1
