,id,바디감,신맛,단맛,쓴맛,타입_디카페인,타입_블렌드,타입_싱글오리진,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
80,4824,3,1,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,1088,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
82,3587,3,2,4,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,4449,4,2,2,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
84,1094,2,3,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
85,2995,4,2,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,3214,4,3,4,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,226,4,1,3,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
88,3897,4,4,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,4004,4,2,4,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,1105,2,4,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
91,4643,3,3,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,3231,3,1,3,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
