,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
마르께,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""1FBDEA79A457B6EACA53AA3359D11B66_element_45473"")>",4,2,4,3
덕분에블렌드,블렌드,미디엄,공정무역,-,4,3,4,1
에티오피아 예가체프 첼바 쿠멜라초 G1,싱글오리진,라이트,,-,2,4,5,1
밀밭,블렌드,라이트미디엄,공정무역,-,4,4,4,3
모리 로부스타 쎄 허니,싱글오리진,라이트미디엄,직접무역,-,4,1,4,2
홀레스트,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""1881C8A02EE547370A37F5ADFF75F78A_element_46082"")>",4,1,4,2
시그니처블렌드 B,블렌드,미디엄다크,,-,3,2,4,1
위시풀 블렌드,블렌드,미디엄,,-,3,3,5,3
진양조,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E641DE3BE4D06F01B6329A94B91A40BC_element_46373"")>",3,1,3,3
과테말라 파노라마,싱글오리진,미디엄다크,,-,3,1,4,2
프렌들리 블렌드,블렌드,미디엄다크,,-,4,2,5,2
소소하게 블렌드,블렌드,미디엄,,-,4,1,4,3
밸런스 블렌드,블렌드,미디엄,,-,3,3,4,3
L 블렌드,블렌드,다크,,-,4,1,4,3
날아올라,싱글오리진,라이트,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""6B4F99B8B34A4E7E53A4E35D5745F0B7_element_46995"")>",4,4,4,2
다크블루,블렌드,미디엄다크,,-,4,1,5,2
과테말라 와이칸 워시드,싱글오리진,라이트미디엄,,-,3,3,4,2
아로마,블렌드,라이트미디엄,,-,2,4,2,1
에티오피아 게이샤 피치 G1,싱글오리진,라이트,공정무역,-,3,4,3,1
블렌드 루트 블랙,블렌드,미디엄다크,,-,5,1,4,3
타이거 스모크 블랜드,블렌드,다크,,-,5,1,5,2
센스 앤 센서빌리티,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""D253B0FCCC5BC89F14A39F894D72C657_element_47678"")>",3,4,4,2
멕시코 디카페인,디카페인,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""05D01C951933123A96F36C1E0F80E538_element_47769"")>",3,3,4,3
뷰블렌드,블렌드,다크,,-,3,1,2,3
마젠타 블렌드,블렌드,미디엄,,-,2,4,3,1
에스프레션,블렌드,미디엄,,-,4,2,4,3
콜롬비아 후일라 수프리모,싱글오리진,미디엄다크,,-,4,3,4,2
에티오피아 구지 라요 타라가 워시드,싱글오리진,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""2E126364C2F1FB832ACF94C83C8A1E32_element_48222"")>",3,4,3,1
33도 블렌드,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""7CDE7AA18FCCEEF14D7C2E2693FA558B_element_48301"")>",1,3,4,1
L1,블렌드,라이트미디엄,,-,2,4,3,2
알파 블렌드,블렌드,미디엄다크,,-,4,1,4,3
그린 블렌딩 커피,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E96B95308B30E12B699500C98B76A298_element_48592"")>",4,3,4,2
라 콜리나,블렌드,미디엄,,-,2,3,3,2
다크초콜릿 블렌드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""CE178F0700BF9046CBAF4C43AD9B5C76_element_48793"")>",5,1,4,2
케냐 AA TOP 오타야 칭가 퀸,싱글오리진,미디엄다크,,-,5,3,5,3
콜롬비아 핀카 라 레세르바 카투라치로소,싱글오리진,라이트,,-,4,4,4,1
66도 블렌드,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""E1099F7EB87FB0583853D67CC8F2505B_element_49104"")>",3,1,3,2
바다블렌드,블렌드,미디엄다크,,-,4,3,4,2
크로마 블렌드,블렌드,미디엄,공정무역,-,4,3,4,3
Santo Negro 산토네그로,블렌드,다크,공정무역,-,4,1,5,4
율 디캐프,디카페인,라이트,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""CBED086801E0758A404D75DFDB716FDA_element_49450"")>",2,2,3,1
(배전도: 에스프레소)디카페인 과테말라,디카페인,미디엄다크,공정무역,-,3,3,4,3
라까프 에스프레소 블렌드,블렌드,미디엄다크,공정무역,-,4,3,4,3
브라질 리마오호사,싱글오리진,라이트,,-,3,2,3,1
버밀리온 헤오 블렌딩,블렌드,미디엄다크,,-,4,1,4,3
시티섬머블루스 시즈널블랜드,블렌드,라이트미디엄,,-,3,4,5,1
콜롬비아 살피콘 게이샤 CM내추럴,싱글오리진,라이트미디엄,,-,3,4,4,2
에티오피아 시다모 문타샤,싱글오리진,라이트미디엄,,-,3,3,5,1
콜롬비아 라 레세르바 카투라 치로소,싱글오리진,미디엄,,-,3,3,4,3
블랙가이 블랜드,블렌드,미디엄,,-,5,1,5,2
에티오피아 예가체프 아리차 G1 워시드,싱글오리진,라이트,,-,3,4,4,1
케냐 AA TOP 키린야가 카리아,싱글오리진,미디엄,,-,3,3,4,2
보니타 블렌딩,블렌드,미디엄다크,,-,3,1,3,1
모리 케피어 로부스타 TR4,싱글오리진,미디엄,직접무역,-,4,1,4,2
케냐 뚱구리 AA TOP 워시드,싱글오리진,미디엄,,-,4,3,4,2
콜롬비아 비야라조 민트,싱글오리진,라이트미디엄,,-,3,3,3,2
W 블렌드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""EE6AA26FB7E34B84297BEDFF78A3F3F2_element_51104"")>",5,1,2,4
보이져,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""902C1874F039B29E6BE3E2BD27CC12E8_element_51187"")>",3,4,4,2
올드타운,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C61CE0BAC914C1CFA85A587ECC9B85B1_element_51275"")>",3,3,4,2
보난자 블렌드,블렌드,미디엄,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""34EBBE5D75DA9B2B24F96D750E55F831_element_51363"")>",2,3,4,2
이태리스페셜,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""BB494D71D443DD1FFB714AB7040EE1A8_element_51463"")>",5,1,4,4
M1,블렌드,미디엄,,-,3,3,4,3
브릴리,싱글오리진,미디엄다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""A3F5E8C241D67B162C2E1064C646A314_element_51738"")>",4,1,5,3
캄블렌드,블렌드,미디엄다크,,-,4,1,4,3
콜롬비아 엘 카르멘 디카프,디카페인,미디엄다크,공정무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""8455E7D6B0BEFDABCF4EA2DC554CD17D_element_51923"")>",4,1,5,2
초코퍼지 블렌딩 커피,블렌드,다크,,-,4,1,4,3
마리모,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""1A8AA67F2456E7464C9B0B49B997B0A0_element_52111"")>",4,1,4,3
그레이무드 블랜드,블렌드,미디엄다크,,-,4,1,5,1
와이칸,싱글오리진,미디엄다크,직접무역,-,3,4,5,3
인디언 헤드,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""1FFC06911A53366ECED890807A3DDC52_element_52392"")>",4,1,4,3
웡카 블렌드,블렌드,다크,,-,5,1,5,4
"DEEP, DEEPLY 딥 딥플리",블렌드,미디엄다크,,-,4,2,5,2
밝은 블렌드,블렌드,라이트미디엄,,-,3,4,4,1
콜롬비아 수프리모 SW 디카프,디카페인,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""0F42E3A543DA257BACA9F6041CA6EB48_element_52751"")>",2,2,3,2
케냐 뚱구리 AA 워시드,싱글오리진,미디엄,,-,3,4,3,1
발렌타인 플러스,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""4651B790A4FDBDA4146D0E9F69E29472_element_52971"")>",5,2,3,2
과테말라 아구아 티비아 게이샤 워시드,싱글오리진,라이트,,-,3,3,5,1
Blend N.4,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C2D3188E3ACAF7148A95BA7BEAF41178_element_53173"")>",4,1,4,3
닻별,블렌드,다크,유기농,-,4,2,4,4
조바티 스페셜 블렌드,블렌드,라이트미디엄,,-,3,4,3,1
