,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
클래식 에스프레소,블렌드,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""4C61855336CF28F78F48DF3A5FEEE345_element_9019"")>",5,1,4,3
과테말라 안티구아 파노라마 SHB EP 풀리워시드,싱글오리진,미디엄,,-,3,2,4,3
브라질 세라도 디카페인,디카페인,미디엄다크,,-,4,2,4,3
딥 밸런스,블렌드,미디엄,유기농,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""A7CCC8CEE51F3B5AFC20FE21E6391A57_element_9352"")>",4,1,3,4
제우스 블렌딩,블렌드,미디엄,,-,4,2,4,3
어느푸른저녁,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""477E21BFCA14AB573B3EA14DCA0A4C2B_element_9516"")>",3,3,4,1
과테말라 산타펠리사 블루제이드,싱글오리진,미디엄,,-,3,2,4,3
G'day Blend (좋은 하루의 시작),블렌드,미디엄다크,,-,4,1,4,4
블랙 블렌드,블렌드,다크,,-,5,3,4,4
디카페인 시그니처 다크 블렌드,디카페인,다크,,-,4,3,4,4
Hammock (해먹),블렌드,미디엄,,-,4,1,4,2
프라이데이,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""F57739E2CA44C89BB0F83496B7796E8D_element_10208"")>",5,3,4,2
커튼콜,블렌드,미디엄,,-,3,4,4,2
ESPRESSO 3s,블렌드,다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""FCAF4FB887A28F452674D3B0703C23BD_element_10371"")>",3,3,4,2
브라질 캄포 알레그레,싱글오리진,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""C465538132026BCBFB3D23916263A83D_element_10475"")>",4,3,4,1
빈야도르 블렌드,블렌드,라이트,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""84FE69779955C9F1ACB29A6BE9BC3C49_element_10568"")>",2,4,4,1
폴라베어 블랜딩,블렌드,라이트미디엄,,-,4,3,5,2
시그니처 블랜드 타이틀드,블렌드,미디엄,,-,3,3,5,2
콜롬비아 디카페인 한국커피 셀렉션,디카페인,미디엄다크,직접무역,-,3,2,4,2
메리 옐로우,블렌드,라이트미디엄,,-,1,4,4,1
조이가이 블랜드,블렌드,미디엄다크,,-,4,2,5,2
웨이브온 블렌드,블렌드,미디엄다크,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""56154413AC819EC73F5F86DD870832EB_element_11152"")>",3,2,3,3
파푸아뉴기니 마라와카 블루마운틴,싱글오리진,미디엄다크,,-,3,3,4,3
