userid,coffeeid,Stars,created_date,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿,Caffeine,CoffeeType,CupNoteCategories,Body,Sourness,Sweetness,Bitterness
27,369,3,2023-11-16 03:37:21.728277,4,1,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
27,198,4,2023-11-16 03:37:21.719291,2,2,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
27,82,4,2023-11-16 03:28:02.711648,2,3,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,['고소함'],4,2,3,2
27,546,3,2023-11-16 03:28:02.748920,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
27,105,3,2023-11-16 03:37:21.714350,4,2,4,4,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,['고소함'],4,2,3,2
27,283,3,2023-11-16 03:37:21.723501,4,1,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
27,549,3,2023-11-16 03:37:21.734274,5,1,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
7,366,3,2023-11-16 00:57:37.306730,4,2,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,364,3,2023-11-16 00:57:37.303241,5,1,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,47,2,2023-11-16 00:57:37.275560,3,2,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,['초콜릿'],3,1,5,2
7,62,2,2023-11-16 00:57:37.285372,5,3,5,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,['초콜릿'],3,1,5,2
7,231,3,2023-11-16 00:57:37.289346,5,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,273,3,2023-11-16 00:57:37.292947,5,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,320,3,2023-11-16 00:57:37.296366,4,2,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,342,3,2023-11-16 00:57:37.299953,3,4,4,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,468,3,2023-11-16 00:57:37.310360,4,1,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
7,494,3,2023-11-16 00:57:37.314018,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['초콜릿'],3,1,5,2
3,382,1,2023-11-15 12:46:18.659999,3,4,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,90,1,2023-11-15 12:46:18.641231,3,3,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,141,1,2023-11-15 12:46:18.645059,2,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,['고소함'],5,1,1,4
3,315,5,2023-11-15 12:46:18.649072,4,1,5,4,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,345,1,2023-11-15 12:46:18.652766,4,4,3,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,380,1,2023-11-15 12:46:18.656392,4,3,4,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,436,5,2023-11-15 12:46:18.664242,3,1,5,3,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,439,1,2023-11-15 12:46:18.668074,3,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,454,5,2023-11-15 12:46:18.671912,4,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
3,472,5,2023-11-15 12:46:18.675619,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['고소함'],5,1,1,4
28,382,2,2023-11-16 05:19:42.327360,3,4,4,2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
28,2,4,2023-11-16 05:19:42.298806,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
28,19,3,2023-11-16 05:19:42.304782,4,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,['고소함'],4,2,3,2
28,102,3,2023-11-16 05:19:42.308553,3,3,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,['고소함'],4,2,3,2
28,104,3,2023-11-16 05:19:42.312066,2,3,5,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,['고소함'],4,2,3,2
28,191,4,2023-11-16 05:19:42.315322,3,2,5,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
28,252,2,2023-11-16 05:19:42.318929,2,4,4,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,['고소함'],4,2,3,2
