userid,coffeeid,Stars,created_date
6,246,5,2023-11-15 12:50:01.495508
6,277,2,2023-11-15 12:50:01.499145
6,329,2,2023-11-15 12:50:01.503664
6,461,3,2023-11-15 12:50:01.508749
6,506,2,2023-11-15 12:50:01.512203
6,515,3,2023-11-15 12:50:01.516046
6,528,3,2023-11-15 12:50:01.519687
6,556,2,2023-11-15 12:50:01.523408
8,52,4,2023-11-16 00:52:58.107922
8,81,4,2023-11-16 00:52:58.112824
8,144,4,2023-11-16 00:52:58.115972
8,161,4,2023-11-16 00:52:58.119345
8,187,5,2023-11-16 00:52:58.123091
8,223,2,2023-11-16 00:52:58.126365
8,364,1,2023-11-16 00:52:58.130139
8,375,5,2023-11-16 00:52:58.133599
8,381,1,2023-11-16 00:52:58.135446
8,553,1,2023-11-16 00:52:58.139039
9,99,5,2023-11-16 00:56:45.589683
9,123,3,2023-11-16 00:56:45.594966
9,157,5,2023-11-16 00:56:45.600110
9,184,5,2023-11-16 00:56:45.604430
9,235,2,2023-11-16 00:56:45.607845
9,275,2,2023-11-16 00:56:45.611240
9,379,5,2023-11-16 00:56:45.614662
9,404,2,2023-11-16 00:56:45.620060
9,428,5,2023-11-16 00:56:45.624963
9,467,3,2023-11-16 00:56:45.626699
7,47,2,2023-11-16 00:57:37.275560
7,62,2,2023-11-16 00:57:37.285372
7,231,3,2023-11-16 00:57:37.289346
7,273,3,2023-11-16 00:57:37.292947
7,320,3,2023-11-16 00:57:37.296366
7,342,3,2023-11-16 00:57:37.299953
7,364,3,2023-11-16 00:57:37.303241
7,366,3,2023-11-16 00:57:37.306730
7,468,3,2023-11-16 00:57:37.310360
7,494,3,2023-11-16 00:57:37.314018
10,14,2,2023-11-16 01:01:55.534376
10,126,2,2023-11-16 01:01:55.540476
10,162,5,2023-11-16 01:01:55.543695
10,172,5,2023-11-16 01:01:55.546584
10,183,5,2023-11-16 01:01:55.549689
10,267,5,2023-11-16 01:01:55.553442
10,410,2,2023-11-16 01:01:55.557010
10,480,5,2023-11-16 01:01:55.560516
10,502,2,2023-11-16 01:01:55.563844
10,538,5,2023-11-16 01:01:55.567446
11,111,2,2023-11-16 01:03:26.496635
11,155,2,2023-11-16 01:03:26.500677
11,157,2,2023-11-16 01:03:26.504194
11,223,2,2023-11-16 01:03:26.508929
11,251,2,2023-11-16 01:03:26.512937
11,258,5,2023-11-16 01:03:26.514851
11,355,2,2023-11-16 01:03:26.518712
11,424,5,2023-11-16 01:03:26.522423
11,429,5,2023-11-16 01:03:26.525932
11,436,2,2023-11-16 01:03:26.527974
12,51,5,2023-11-16 01:09:48.849372
12,116,2,2023-11-16 01:09:48.853075
12,167,3,2023-11-16 01:09:48.856645
12,187,4,2023-11-16 01:09:48.862022
12,284,4,2023-11-16 01:09:48.866471
12,338,4,2023-11-16 01:09:48.869955
12,378,3,2023-11-16 01:09:48.871611
12,379,4,2023-11-16 01:09:48.875205
12,459,4,2023-11-16 01:09:48.878528
12,512,3,2023-11-16 01:09:48.881816
13,92,1,2023-11-16 01:11:12.087697
13,211,1,2023-11-16 01:11:12.097804
13,262,2,2023-11-16 01:11:12.099462
13,475,2,2023-11-16 01:11:12.102659
13,494,1,2023-11-16 01:11:12.106087
13,495,3,2023-11-16 01:11:12.110111
13,504,2,2023-11-16 01:11:12.116472
