,ID,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
에티오피아 시다모 G1 봄베 와인 내추럴,4570,싱글오리진,라이트,,-,2,4,4,1
초콜릿 블렌드,1473,블렌드,미디엄다크,,"초콜릿, 카카오닙스, 카라멜",4,3,4,2
D1,3503,블렌드,미디엄다크,,-,4,2,4,3
Blend Base,1726,블렌드,다크,,-,3,1,2,4
더블 캐스트,3390,블렌드,라이트미디엄,,-,2,4,3,1
커먼센스 블렌드,3395,블렌드,미디엄다크,,-,4,1,3,2
에티오피아 예가체프 G2,3200,싱글오리진,미디엄,,-,2,3,2,1
트로피칼 플라워 게이샤 무산소,3555,싱글오리진,라이트,,-,3,4,4,1
스프링 블렌드,3583,블렌드,미디엄,,-,3,4,3,2
올드타운로드 하우스블랜드,3928,블렌드,다크,,-,4,1,5,4
데일리뷰티 블렌드,1292,블렌드,미디엄,,"은은하게 퍼지는 산미, 시럽같은 단맛, 카카오, 다크초콜렛, 좋은 바디감",4,2,4,2
시그니처블렌드 S,3839,블렌드,미디엄다크,,-,4,2,5,1
에티오피아 반코 고티티 G1 워시드,1722,싱글오리진,라이트,,-,2,4,3,1
아이올라이트 블렌드,3046,블렌드,미디엄다크,,-,4,2,4,4
하늘에 시그니처 블랜딩,1108,블렌드,라이트미디엄,,"오렌지, 카라멜, 쥬시",2,4,4,1
오차드 블렌딩,3065,블렌드,미디엄다크,,-,3,2,4,2
포스트업,186,블렌드,다크,,초콜릿,5,1,5,1
버터 슬럽 블렌드,3193,블렌드,미디엄다크,,-,4,1,4,2
MAUNA LOA(마우나 로아),4446,블렌드,미디엄다크,직접무역,-,4,2,4,3
불켜진공장 블렌드,4333,블렌드,미디엄다크,,-,4,2,4,2
에티오피아 예가체프 게뎁 단체 첼베사 워시드 G1,4523,싱글오리진,라이트,,-,2,3,3,1
디카프 슬럽,3180,디카페인,미디엄,,-,3,3,4,1
카메오 블렌딩,3899,블렌드,미디엄다크,,-,4,1,3,4
몽상스,1332,싱글오리진,미디엄,직접무역,"라임, 블랙티, 건포도, 밀크초코, 편안한 케냐",5,4,5,3
파나마 코토와 돈케이,8,싱글오리진,라이트미디엄,직접무역,초콜릿,4,4,5,2
아게다 블렌딩,3068,블렌드,라이트미디엄,,-,2,4,4,2
J브라운,4693,블렌드,미디엄,,-,4,1,4,3
디카페인 브라질,4601,디카페인,미디엄다크,공정무역,-,4,2,3,2
문래 블렌드,145,블렌드,미디엄다크,,"아몬드, 라즈베리, 브라운슈가, 초콜릿",5,1,5,4
에티오피아 딤투 테로 내츄럴,4766,싱글오리진,라이트,,-,3,3,4,1
아프로디테 블렌딩,4683,블렌드,라이트미디엄,,-,2,3,4,2
세피아 블렌딩,3898,블렌드,미디엄다크,,-,4,1,4,4
브라우니 블렌드,1708,블렌드,미디엄다크,,"비터스윗, 브라운 슈가, 엿기름, 카카오, 팝콘, 보리, 긴여운",4,1,4,2
기디 블렌드,4310,블렌드,라이트미디엄,,-,2,4,4,1
브라질 핀할 카티구아,4774,싱글오리진,라이트,,-,3,5,4,1
시그니처블렌드 D,3837,블렌드,미디엄다크,,-,5,1,5,1
알렉세이션,249,블렌드,미디엄,,-,3,3,4,1
블렌드 슈퍼 노멀,1316,블렌드,미디엄다크,,"다크 초콜릿, 구운 아몬드, 오렌지, 흑설탕, 묵직함",4,2,5,3
브라운 블렌딩 커피,1300,블렌드,미디엄다크,,"다크 초콜릿, 볶은 견과류, 카카오닙스, 버번위스키",5,1,5,3
브라질 세하도 NY2,4691,싱글오리진,미디엄다크,,-,3,1,3,3
돌담in애월,1109,블렌드,미디엄다크,,"다크초콜렛, 흑설탕, 롱 애프터",5,2,5,3
아이보리 블렌드,1475,블렌드,미디엄다크,,"아몬드, 너트, 다크초콜렛",4,3,4,2
엘리 크릭,1047,블렌드,미디엄다크,직접무역,"카라멜, 다크 체리, 밀크 초콜릿, 스윗",3,3,2,4
콜롬비아 디에고 베르가라 자바 이스트 무산소발효 워시드,4546,싱글오리진,라이트미디엄,직접무역,-,3,4,4,2
하이로 디카프리오,3447,디카페인,미디엄,직접무역,-,3,4,4,2
블랙수트 블랜드,3354,블렌드,미디엄,,-,3,2,3,1
데일리블렌드,3433,블렌드,미디엄다크,공정무역,-,4,1,5,3
콜롬비아 라 레오나 만다린,3738,싱글오리진,라이트미디엄,,-,3,4,4,1
꼬소한쌀밥 블렌딩,4041,블렌드,다크,,-,4,1,5,5
이븐 블렌드,1204,블렌드,미디엄다크,,"와인, 견과류, 초콜릿, 밸런스",4,1,3,3
케냐 야라 AB TOP,1737,싱글오리진,라이트,,-,1,4,4,1
블랙렄 블렌드,3029,블렌드,다크,,-,4,1,4,2
콜롬비아 모틸론,3147,싱글오리진,미디엄다크,,-,4,2,4,1
레이크 맥켄지,1048,블렌드,미디엄,공정무역,"와일드 베리, 사탕수수, 스톤프루츠, 클린",3,3,3,2
블랙 스트림 4kg,4837,블렌드,미디엄다크,,-,5,1,4,3
모노그램(Mono Gram),3089,블렌드,미디엄다크,,-,3,3,5,2
프렌치,1336,블렌드,다크,직접무역,"카카오닙스, 토피, 카라멜",5,1,4,4
에티오피아 케라모 G1 워시드,3907,싱글오리진,미디엄,,-,2,3,3,1
ESPRESSO DECAF(디카페인),4449,디카페인,다크,직접무역,-,4,2,2,3
과테말라 안티구아 SHB,4702,싱글오리진,미디엄다크,,-,3,1,3,1
오렌지 슈가 블렌드,4674,블렌드,미디엄,,-,3,4,4,2
상큼한초밥 블렌딩,134,블렌드,미디엄다크,,"쌀밥, 땅콩, 아몬드, 허브, 감귤",3,3,3,2
CLASSIC BLEND,173,블렌드,다크,직접무역,"황설탕, 카카오닙스, 초콜릿",3,3,4,2
디카페인 에티오피아 예가체프 콩가 내추럴,3460,디카페인,미디엄,유기농,-,3,4,5,3
브라질 파젠다 산타루시아 펄프드내추럴,4839,싱글오리진,라이트미디엄,,-,3,3,3,3
더 블랙,4485,블렌드,다크,직접무역,-,5,1,3,4
과테말라 SHB 마운틴워터 디카페인,4643,디카페인,미디엄다크,,-,3,3,4,3
BACS 다크 블렌드,74,블렌드,다크,,초콜릿,4,2,3,1
오아시스 블렌드,4330,블렌드,미디엄,,-,3,3,5,1
시그니처블렌드 A,3838,블렌드,미디엄다크,,-,5,1,5,1
케냐 뚱구리 AA,4458,싱글오리진,라이트,,-,3,4,4,1
핀카 엘피날 린다 비스타 게이샤,3553,싱글오리진,라이트,,-,3,4,4,1
