coffeeid,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
107,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,3,4,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
109,4,2,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
110,5,1,4,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
111,2,4,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
112,5,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
113,4,2,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
114,3,2,4,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
115,4,3,5,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
116,5,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
117,3,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
118,4,1,5,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
119,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
120,3,3,2,4,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
121,3,3,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
122,3,3,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
123,3,3,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
124,3,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
